cost,probability,optimal
74.4,0.03701855577735376,0.027241936469631897
45.00000000000003,0.15011015259148497,0.00039836527603262875
57.00000000000003,0.08028475723878215,0.020096836137305892
68.4,0.08669524907682938,0.01769613944033536
77.00000000000003,0.2824030036368894,0.0013439738716014926
48.00000000000003,0.07191936566818573,0.002904724769880121
88.4,0.10492283356676096,0.0013750348263552076
38.00000000000003,0.06599371180323862,0.017475095997785735
68.4,0.07892016695029,0.05850527828917151
68.4,0.07892016695029,0.0585052782891715
68.4,0.06089141608074551,0.0035497021878676442
72.4,0.05003636353846007,0.02450913244042258
71.4,0.05832671494281573,0.016233026812378818
41.00000000000003,0.0936664515577257,0.008407658745544907
43.00000000000003,0.06710957986370247,0.019134354029893465
64.39999999999999,0.13442828332212453,0.009025327636611851
68.00000000000003,0.13172970488024113,0.0009714217274042364
61.00000000000003,0.0974503363679647,0.013557132328736015
42.00000000000003,0.11416244415963386,0.002651798433570176
42.00000000000003,0.1141624441596338,0.0026517984335701
49.00000000000003,0.04058063669687121,0.007976854450910169
50.00000000000003,0.0878190331926628,0.0017156018890892245
64.39999999999999,0.08862665087170957,0.011781976838614025
29.00000000000003,0.07377289140253442,0.012211589508215775
68.00000000000003,0.10743640882266312,0.0009562904154878008
34.00000000000003,0.10360644272595879,0.07532473669727165
72.4,0.07257098847776779,0.02626639556218943
79.4,0.06760752652547357,0.02083025340854721
83.4,0.05268515419360797,0.016692524729566154
83.4,0.0526851541936079,0.0166925247295661
84.4,0.08752213598222497,0.0010289888109124604
44.00000000000003,0.14013324865095422,0.00017129932221829645
59.00000000000003,0.1056269811607146,0.002278590040220554
80.4,0.32410948286242197,0.030884008173677077
74.4,0.08291491654101713,0.00040542988452201554
66.00000000000003,0.05843581493518899,0.018801669762344597
41.00000000000003,0.10946814840465126,0.015106393143844791
27.00000000000003,0.0348266664741591,0.0348266664741591
27.00000000000003,0.10613050262616971,0.10613050262616971
72.4,0.059141569140831414,0.0478458826229025
49.00000000000003,0.09923327746769177,0.002924683788344515
64.39999999999999,0.06812555272596207,0.0425860451027198
74.4,0.11595436103722671,0.0031481537463406077
66.00000000000003,0.10917928093586544,0.00010606274839524796
79.4,0.055971299620068936,0.0020456000044909305
54.00000000000003,0.09114480537939795,0.022985830319357695
34.00000000000003,0.3099387319456775,0.016639567304113617
49.00000000000003,0.10007192382124071,0.05238041430855641
43.00000000000003,0.12182634685102357,0.0033149865503869775
50.00000000000003,0.05524903695143647,0.02339301996351467
81.00000000000003,0.0722089405861397,0.010896907116021825
27.00000000000003,0.04627690085237121,0.04627690085237121
74.4,0.12121413272325705,0.00025667670579850857
49.00000000000003,0.11414032777753098,0.0011286963018786917
41.00000000000003,0.17462799147380365,0.022539668909959523
42.00000000000003,0.07427550999910384,0.06397167463396869
50.00000000000003,0.07762397732682472,0.006918279186360729
56.00000000000003,0.09134660197675376,0.002008765296321971
80.4,0.05672031594523132,0.003844475046959194
27.00000000000003,0.07774738713698127,0.07774738713698127
91.4,0.06949555030608323,0.005551332853669807
80.4,0.12873746221737434,0.002658755706613682
27.00000000000003,0.11020542737429001,0.11020542737429001
91.4,0.12458182021948602,0.0002956760824228649
77.00000000000003,0.10582854527994599,0.002250028293848704
41.00000000000003,0.08954456915657866,0.0053544929591082865
35.00000000000003,0.1762283775476038,0.140784530625767
34.00000000000003,0.05161799651279926,0.02802075534437971
34.00000000000003,0.19771797709245065,0.1865697101130674
56.00000000000003,0.047551587154402095,0.01609039243137106
77.00000000000003,0.039816184757297354,0.013284036562037452
94.4,0.09365929350682568,0.005539897502307285
68.4,0.06034487709091834,0.03443483015507598
