bit_array,bit_string,integer_array,probability,fval,is_feasible,is_optimal
[1 1 1 0 1 0 1 1 1 1 0 1],111010111101,[3. 1. 1. 3. 3. 2.],0.11068252703304593,70.00000000000003,True,False
[1 1 1 0 1 0 0 1 1 1 0 1],111010011101,[3. 1. 1. 2. 3. 2.],0.08614459063730595,50.00000000000003,True,False
[1 1 1 0 1 0 1 1 0 1 1 1],111010110111,[3. 1. 1. 3. 2. 3.],0.08597615983895461,70.00000000000003,True,False
[1 1 1 0 1 0 0 1 0 1 1 1],111010010111,[3. 1. 1. 2. 2. 3.],0.06523316915077036,50.00000000000003,True,False
[1 0 1 1 1 0 1 0 1 1 0 1],101110101101,[1. 3. 1. 1. 3. 2.],0.06048119440178009,61.00000000000003,True,False
[1 1 1 0 0 0 1 1 1 1 0 1],111000111101,[3. 1. 0. 3. 3. 2.],0.054939502474219234,62.00000000000003,True,False
[1 1 1 0 0 0 0 1 1 1 0 1],111000011101,[3. 1. 0. 2. 3. 2.],0.04300642651678147,42.00000000000003,True,False
[1 0 1 1 1 0 1 0 0 1 1 1],101110100111,[1. 3. 1. 1. 2. 3.],0.03997861427307904,57.00000000000003,True,False
[1 1 1 0 0 0 1 1 0 1 1 1],111000110111,[3. 1. 0. 3. 2. 3.],0.03802728404632181,54.00000000000003,True,False
[1 1 1 0 1 1 1 1 1 1 0 1],111011111101,[3. 1. 3. 3. 3. 2.],0.0340928634840723,77.00000000000003,True,False
[1 1 1 0 0 0 0 1 0 1 1 1],111000010111,[3. 1. 0. 2. 2. 3.],0.028924094752582927,34.00000000000003,True,False
[1 0 1 1 1 0 0 0 1 1 0 1],101110001101,[1. 3. 1. 0. 3. 2.],0.028119212818470653,49.00000000000003,True,False
[1 0 1 1 0 0 1 0 1 1 0 1],101100101101,[1. 3. 0. 1. 3. 2.],0.027057824100347353,53.00000000000003,True,False
[1 1 1 0 1 1 0 1 1 1 0 1],111011011101,[3. 1. 3. 2. 3. 2.],0.02660101097901847,57.00000000000003,True,False
[1 1 1 0 1 1 1 1 0 1 1 1],111011110111,[3. 1. 3. 3. 2. 3.],0.023416132569791307,81.00000000000003,True,False
[1 1 1 0 1 1 0 1 0 1 1 1],111011010111,[3. 1. 3. 2. 2. 3.],0.017668410551006992,61.00000000000003,True,False
[1 0 1 1 1 0 0 0 0 1 1 1],101110000111,[1. 3. 1. 0. 2. 3.],0.017660461495639764,45.00000000000003,True,False
[1 0 1 1 1 1 1 0 1 1 0 1],101111101101,[1. 3. 3. 1. 3. 2.],0.017177610155375937,68.00000000000003,True,False
[1 1 1 0 0 1 1 1 0 1 1 1],111001110111,[3. 1. 2. 3. 2. 3.],0.01702851046751789,61.00000000000003,True,False
[1 0 1 1 0 0 1 0 0 1 1 1],101100100111,[1. 3. 0. 1. 2. 3.],0.01600306210276204,41.00000000000003,True,False
[1 1 1 0 0 1 0 1 0 1 1 1],111001010111,[3. 1. 2. 2. 2. 3.],0.01310562942402984,41.00000000000003,True,False
[1 0 1 1 0 0 0 0 1 1 0 1],101100001101,[1. 3. 0. 0. 3. 2.],0.0125744597339287,41.00000000000003,True,False
[1 1 1 0 0 1 1 1 1 1 0 1],111001111101,[3. 1. 2. 3. 3. 2.],0.010599416216100041,65.00000000000003,True,False
[1 0 1 1 1 1 1 0 0 1 1 1],101111100111,[1. 3. 3. 1. 2. 3.],0.010497431698563386,68.00000000000003,True,False
[1 0 1 1 1 0 1 1 1 1 0 1],101110111101,[1. 3. 1. 3. 3. 2.],0.008492453226774575,70.00000000000003,True,False
[1 1 1 0 0 1 0 1 1 1 0 1],111001011101,[3. 1. 2. 2. 3. 2.],0.008249145940775963,45.00000000000003,True,False
[1 0 1 1 1 1 0 0 1 1 0 1],101111001101,[1. 3. 3. 0. 3. 2.],0.007956396387478552,56.00000000000003,True,False
[1 1 1 0 1 0 1 0 1 1 0 1],111010101101,[3. 1. 1. 1. 3. 2.],0.007828478950472437,59.00000000000003,True,False
