bit_array,bit_string,integer_array,probability,fval,is_feasible,is_optimal
[1 1 1 0 1 1 0 1 1 1 0 1],111011011101,[3. 1. 3. 2. 3. 2.],0.0012992261136799519,57.00000000000003,True,False
[1 0 1 1 1 1 0 0 1 1 0 1],101111001101,[1. 3. 3. 0. 3. 2.],0.0011419537204291185,56.00000000000003,True,False
[1 1 1 0 0 1 0 1 1 1 0 1],111001011101,[3. 1. 2. 2. 3. 2.],0.0011184998150591805,45.00000000000003,True,False
[1 1 1 0 1 0 1 1 0 1 1 1],111010110111,[3. 1. 1. 3. 2. 3.],0.0010912224369194318,70.00000000000003,True,False
[1 1 1 0 1 0 0 0 1 1 0 1],111010001101,[3. 1. 1. 0. 3. 2.],0.001060146725004401,43.00000000000003,True,False
[0 1 0 1 0 1 1 0 1 1 0 1],010101101101,[2. 2. 2. 1. 3. 2.],0.0010500600647017923,79.4,True,False
[1 0 1 1 1 1 0 1 0 1 1 1],101111010111,[1. 3. 3. 2. 2. 3.],0.0010489805974169797,61.00000000000003,True,False
[1 1 1 0 1 1 0 0 1 1 0 1],111011001101,[3. 1. 3. 0. 3. 2.],0.0009854082092543403,50.00000000000003,True,False
[1 0 1 1 1 1 0 0 0 1 1 1],101111000111,[1. 3. 3. 0. 2. 3.],0.0009832495172635732,56.00000000000003,True,False
[1 0 1 1 0 1 1 1 1 1 0 1],101101111101,[1. 3. 2. 3. 3. 2.],0.0009740455781284907,65.00000000000003,True,False
[1 0 1 1 1 0 1 0 1 1 0 1],101110101101,[1. 3. 1. 1. 3. 2.],0.000904412227148807,61.00000000000003,True,False
[0 1 0 1 0 0 1 0 0 1 1 1],010100100111,[2. 2. 0. 1. 2. 3.],0.0008980208704504919,72.4,True,False
[1 0 1 1 1 0 1 1 0 1 1 1],101110110111,[1. 3. 1. 3. 2. 3.],0.000801070986391841,66.00000000000003,True,False
[1 1 1 0 1 1 1 1 0 1 1 1],111011110111,[3. 1. 3. 3. 2. 3.],0.00077654670664558,81.00000000000003,True,False
[0 1 0 1 1 1 0 0 1 1 0 1],010111001101,[2. 2. 3. 0. 3. 2.],0.0007597198280565612,83.4,True,False
[1 1 1 0 1 0 1 1 1 1 0 1],111010111101,[3. 1. 1. 3. 3. 2.],0.000537337738153809,70.00000000000003,True,False
[0 1 0 1 1 0 0 0 0 1 1 1],010110000111,[2. 2. 1. 0. 2. 3.],0.0005287590243024941,80.4,True,False
[0 1 0 1 0 0 0 1 0 1 1 1],010100010111,[2. 2. 0. 2. 2. 3.],0.00048808799733376034,67.4,True,False
[1 0 1 1 1 0 1 1 1 1 0 1],101110111101,[1. 3. 1. 3. 3. 2.],0.0004731108139783641,70.00000000000003,True,False
