bit_array,bit_string,integer_array,probability,fval,is_feasible,is_optimal
[1 1 1 0 0 1 0 0 1 1 0 1],111001001101,[3. 1. 2. 0. 3. 2.],0.10048108265493248,38.00000000000003,True,False
[1 1 1 0 0 0 0 0 1 1 0 1],111000001101,[3. 1. 0. 0. 3. 2.],0.09166447352564717,35.00000000000003,True,False
[1 0 1 1 0 0 0 0 0 1 1 1],101100000111,[1. 3. 0. 0. 2. 3.],0.0876785335268041,29.00000000000003,True,False
[1 0 1 1 0 1 0 0 0 1 1 1],101101000111,[1. 3. 2. 0. 2. 3.],0.06910798773909672,36.00000000000003,True,False
[1 1 1 0 0 0 0 0 0 1 1 1],111000000111,[3. 1. 0. 0. 2. 3.],0.06831001822923735,27.00000000000003,True,True
[1 1 1 0 0 1 0 0 0 1 1 1],111001000111,[3. 1. 2. 0. 2. 3.],0.0667467459561073,34.00000000000003,True,False
[1 0 1 1 0 0 0 0 1 1 0 1],101100001101,[1. 3. 0. 0. 3. 2.],0.06212263210045502,41.00000000000003,True,False
[1 1 1 0 1 0 0 0 1 1 0 1],111010001101,[3. 1. 1. 0. 3. 2.],0.06055584113390254,43.00000000000003,True,False
[1 0 1 1 1 0 0 0 1 1 0 1],101110001101,[1. 3. 1. 0. 3. 2.],0.03681890929082879,49.00000000000003,True,False
[1 0 1 1 0 1 0 0 1 1 0 1],101101001101,[1. 3. 2. 0. 3. 2.],0.03059630582285228,44.00000000000003,True,False
[1 0 1 1 0 1 1 0 0 1 1 1],101101100111,[1. 3. 2. 1. 2. 3.],0.019697290717466814,48.00000000000003,True,False
[1 1 1 0 0 1 1 0 1 1 0 1],111001101101,[3. 1. 2. 1. 3. 2.],0.018028064109614442,54.00000000000003,True,False
[1 1 1 0 0 0 1 0 1 1 0 1],111000101101,[3. 1. 0. 1. 3. 2.],0.017374968635241347,51.00000000000003,True,False
[1 1 1 0 1 0 0 0 0 1 1 1],111010000111,[3. 1. 1. 0. 2. 3.],0.015426330616643872,43.00000000000003,True,False
[1 0 1 1 0 0 1 0 0 1 1 1],101100100111,[1. 3. 0. 1. 2. 3.],0.015094472325694646,41.00000000000003,True,False
[1 1 1 0 0 0 1 0 0 1 1 1],111000100111,[3. 1. 0. 1. 2. 3.],0.014359318755458114,43.00000000000003,True,False
[1 0 1 1 0 0 1 1 0 1 1 1],101100110111,[1. 3. 0. 3. 2. 3.],0.013346403370792336,50.00000000000003,True,False
[1 1 1 0 0 1 1 0 0 1 1 1],111001100111,[3. 1. 2. 1. 2. 3.],0.012878958832780805,50.00000000000003,True,False
[1 0 1 1 0 0 1 1 1 1 0 1],101100111101,[1. 3. 0. 3. 3. 2.],0.012150850900312173,62.00000000000003,True,False
[1 0 1 1 0 0 1 0 1 1 0 1],101100101101,[1. 3. 0. 1. 3. 2.],0.01061650474085824,53.00000000000003,True,False
[1 1 1 0 0 0 1 1 1 1 0 1],111000111101,[3. 1. 0. 3. 3. 2.],0.010612976847962185,62.00000000000003,True,False
[1 1 1 0 1 0 1 0 1 1 0 1],111010101101,[3. 1. 1. 1. 3. 2.],0.010433611328403673,59.00000000000003,True,False
[1 1 1 0 0 1 1 1 1 1 0 1],111001111101,[3. 1. 2. 3. 3. 2.],0.010355006206216155,65.00000000000003,True,False
[1 0 1 1 1 0 0 0 0 1 1 1],101110000111,[1. 3. 1. 0. 2. 3.],0.00927057133353614,45.00000000000003,True,False
[1 1 1 0 0 1 0 1 1 1 0 1],111001011101,[3. 1. 2. 2. 3. 2.],0.008925179854856557,45.00000000000003,True,False
[1 1 1 0 0 0 1 1 0 1 1 1],111000110111,[3. 1. 0. 3. 2. 3.],0.00877296705738728,54.00000000000003,True,False
[1 1 1 0 1 1 0 0 1 1 0 1],111011001101,[3. 1. 3. 0. 3. 2.],0.008297512464048452,50.00000000000003,True,False
[1 1 1 0 0 1 1 1 0 1 1 1],111001110111,[3. 1. 2. 3. 2. 3.],0.008173868290273499,61.00000000000003,True,False
[1 1 1 0 1 0 1 1 1 1 0 1],111010111101,[3. 1. 1. 3. 3. 2.],0.0076425318621871005,70.00000000000003,True,False
[1 0 1 1 1 0 1 1 1 1 0 1],101110111101,[1. 3. 1. 3. 3. 2.],0.006482689127060562,70.00000000000003,True,False
[1 0 1 1 0 1 0 1 1 1 0 1],101101011101,[1. 3. 2. 2. 3. 2.],0.006213981976976473,49.00000000000003,True,False
[1 0 1 1 1 0 1 0 1 1 0 1],101110101101,[1. 3. 1. 1. 3. 2.],0.005610569802002646,61.00000000000003,True,False
[1 1 1 0 0 1 0 1 0 1 1 1],111001010111,[3. 1. 2. 2. 2. 3.],0.005135930709346378,41.00000000000003,True,False
[1 0 1 1 0 1 1 1 0 1 1 1],101101110111,[1. 3. 2. 3. 2. 3.],0.00493013170851752,57.00000000000003,True,False
[1 0 1 1 0 1 1 0 1 1 0 1],101101101101,[1. 3. 2. 1. 3. 2.],0.004866031838789042,56.00000000000003,True,False
[1 1 1 0 1 1 0 0 0 1 1 1],111011000111,[3. 1. 3. 0. 2. 3.],0.004741510392012508,54.00000000000003,True,False
[1 0 1 1 0 0 0 1 0 1 1 1],101100010111,[1. 3. 0. 2. 2. 3.],0.004537919385150046,34.00000000000003,True,False
[1 0 1 1 0 0 0 1 1 1 0 1],101100011101,[1. 3. 0. 2. 3. 2.],0.003910035358554399,46.00000000000003,True,False
[0 1 0 1 0 0 0 1 1 1 0 1],010100011101,[2. 2. 0. 2. 3. 2.],0.003884091675137877,71.4,True,False
[1 0 1 1 0 1 1 1 1 1 0 1],101101111101,[1. 3. 2. 3. 3. 2.],0.002998608299644721,65.00000000000003,True,False
[1 1 1 0 1 0 1 0 0 1 1 1],111010100111,[3. 1. 1. 1. 2. 3.],0.00289220360598037,59.00000000000003,True,False
[1 1 1 0 0 0 0 1 1 1 0 1],111000011101,[3. 1. 0. 2. 3. 2.],0.0028724053264775977,42.00000000000003,True,False
[1 0 1 1 0 1 0 1 0 1 1 1],101101010111,[1. 3. 2. 2. 2. 3.],0.002857870153785406,41.00000000000003,True,False
[1 0 1 1 1 1 0 0 1 1 0 1],101111001101,[1. 3. 3. 0. 3. 2.],0.0022569506497404773,56.00000000000003,True,False
[1 0 1 1 1 0 0 1 1 1 0 1],101110011101,[1. 3. 1. 2. 3. 2.],0.0022227473093505558,54.00000000000003,True,False
[0 1 0 1 0 0 0 1 0 1 1 1],010100010111,[2. 2. 0. 2. 2. 3.],0.002052103970528254,67.4,True,False
[1 1 1 0 1 0 1 1 0 1 1 1],111010110111,[3. 1. 1. 3. 2. 3.],0.00189243312286057,70.00000000000003,True,False
[1 0 1 1 1 0 1 0 0 1 1 1],101110100111,[1. 3. 1. 1. 2. 3.],0.0017937748910635109,57.00000000000003,True,False
[0 1 0 1 0 0 0 0 0 1 1 1],010100000111,[2. 2. 0. 0. 2. 3.],0.0017435181725383125,64.39999999999999,True,False
